# 별바라기 혜성 자료 파일
#
# 수정 내용을 반영하려면, 파일을 저장한 후 혜성 다이로그를 닫았다가 다시 띄우십시오.
# '#'으로 시작하는 줄은 프로그램에서 인식하지 않습니다.
# 각 항목을 '|'를 구분자로 사용하여 입력하십시오.
# 순서를 바꾸면 프로그램에서도 바뀐 순서로 나옵니다.
# 중요한 것을 앞쪽에 놓으면 편리합니다.    58 270
# 혜성의 이름은 39자까지 인식되며, 그 뒤는 무시됩니다.
#                                                                                근일점이각      승교점                            
#     이름                              분점        근일점           q         e        w         Node       i       k              ref
#1P/Halley                              |2000|19860205.5244 | 0.585978 |0.967142 |111.3324 |58.42008 | 162.262 |11.5 |15.0 | MPC 29882
#
C/2008 J6 (Hill)                       |2000|20080411.9386 | 1.984300 |1.000963 | 10.5465 |298.0993 | 45.2105 |10.5 |10.0 | MPC 82314
P/2008 L2 (Hill)                       |2000|20230511.4830 | 2.334317 |0.612811 |141.1984 |218.0038 | 25.8501 |12.5 |10.0 | MPC 75709
C/2008 N1 (Holmes)                     |2000|20090920.7430 | 2.807423 |0.996782 |100.9529 |357.5078 |115.4801 | 9.0 |10.0 | MPC112389
P/2008 O3 (Boattini)                   |2000|20311223.5903 | 2.511570 |0.694649 |341.0774 | 47.6106 | 32.2277 |13.0 |10.0 | MPC 64114
C/2008 P1 (Garradd)                    |2000|20090720.1782 | 3.878753 |0.998391 | 11.6559 |357.7082 | 64.3585 | 7.0 |10.0 | MPC103843
C/2008 Q1 (Maticic)                    |2000|20081224.3657 | 2.982178 |0.994676 |104.5485 |  9.2643 |118.5703 |10.0 |10.0 | MPC 65935
C/2008 Q3 (Garradd)                    |2000|20090620.2244 | 1.819031 |0.999001 |340.8273 |219.5414 |140.7870 |10.0 |10.0 | MPC 80896
P/2008 QP20 (LINEAR-Hill)              |2000|20220102.0400 | 1.799236 |0.492914 | 75.7356 |322.1194 |  7.5174 |15.5 |10.0 | MPC 75709
C/2008 R3 (LINEAR)                     |2000|20081120.1619 | 1.903261 |0.895701 | 83.8995 |270.8507 | 43.3243 |13.0 |10.0 | MPC 64115
C/2008 S3 (Boattini)                   |2000|20110604.6802 | 7.998746 |1.000126 | 39.9798 | 55.0827 |162.6915 | 4.0 |10.0 | MPC 95207
C/2008 T2 (Cardinal)                   |2000|20090613.6811 | 1.209528 |1.000170 |216.0174 |309.5833 | 55.9986 | 6.0 |10.0 | MPC 66921
P/2008 WZ96 (LINEAR)                   |2000|20210826.3786 | 1.845927 |0.471323 |341.7921 | 56.6058 |  7.1239 |13.5 |10.0 | MPC 66204
C/2008 X3 (LINEAR)                     |2000|20081006.9098 | 1.924998 |0.955838 |140.9434 |337.8097 | 66.3964 |13.0 |10.0 | MPC 65057
P/2008 Y12 (SOHO)                      |2000|20191009.7253 | 0.067414 |0.978094 |144.4554 |309.7250 | 23.6771 |21.0 |20.0 | MPC 88693
P/2008 Y3 (McNaught)                   |2000|20311024.9089 | 4.459504 |0.445676 |238.3255 |262.7801 | 38.7592 | 8.5 |10.0 | MPC 75710
P/2009 B1 (Boattini)                   |2000|20260704.5521 | 2.461705 |0.634471 |128.9206 |297.0926 | 22.2185 |13.0 |10.0 | MPC 75710
